0,83.7,0,77.7,0,77.7,0,77.8,0,77.8,0,77.7
10,78.9,10,73.6,10,73.9,10,74.4,10,75.4,10,73.7
20,78.4,20,66.6,20,68.3,20,68.4,20,71.2,20,66.3
30,62.4,30,59.7,30,66.9,30,62.4,30,66.7,30,59.1
40,55.4,40,53.9,40,54.9,40,56.8,40,62.4,40,53.1
50,49.8,50,48.3,50,49.4,50,52.3,50,58.4,50,47.4
60,44.7,60,43.6,60,44.8,60,47.8,60,55.3,60,42.6
70,40.4,70,39.8,70,41,70,44,70,51.9,70,38.7
80,36.9,80,36.6,80,37.6,80,40.6,80,48.7,80,35.4
90,34,90,34,90,34.8,90,37.9,90,46,90,32.8
100,31.6,100,31.7,100,32.5,100,35.4,100,43.4,100,30.6
110,29.7,110,29.9,110,30.6,110,33.3,110,41.1,110,28.7
120,28,120,28.3,120,28.8,120,31.4,120,39.1,120,27.2
130,26.6,130,27,130,27.6,130,29.9,130,37.2,130,26
140,25.6,140,26,140,26.4,140,28.5,140,35.5,140,25.5
150,25.1,150,25.1,150,25.5,150,27.5,150,34,150,24.6
160,24.4,160,24.7,160,25.2,160,26.4,160,32.7,160,23
